Customer ID,Recency,Frequency,Monetary,Tenure,AvgBasketSize,Target_LTV,Target_churn
12346,155,11,372.86,351,6.363636363636363,77183.6,0
12347,30,1,611.53,30,509.0,5021.79,0
12348,64,1,222.16,64,373.0,1797.24,0
12349,33,3,2671.14,215,331.0,1757.55,0
12351,1,1,300.93,1,261.0,0.0,1
12352,1,2,343.8,18,94.0,2506.04,0
12353,34,1,317.76,34,192.0,89.0,0
12355,193,1,488.21000000000004,193,303.0,459.4,0
12356,6,3,3562.25,50,608.6666666666666,2811.43,0
12357,14,2,12079.99,14,1939.5,6207.67,0
12358,1,3,2719.01,357,277.0,1168.06,0
12359,51,6,2563.36,360,188.33333333333334,6372.58,0
12360,5,5,1590.83,281,258.8,2662.06,0
12361,88,3,321.35,308,48.0,189.9,0
12362,364,1,130.0,364,1.0,5226.23,0
12366,259,1,500.24,259,296.0,0.0,1
12368,254,1,917.6999999999999,254,330.0,0.0,1
12369,39,3,1791.15,267,413.6666666666667,0.0,1
12370,250,3,774.62,294,84.0,3545.69,0
12371,35,3,2179.42,271,281.6666666666667,1887.96,0
12373,250,2,763.0500000000001,299,159.5,364.6,0
12374,47,3,2246.29,214,340.0,742.9300000000001,0
12376,15,2,503.15,43,120.0,0.0,1
12377,7,2,1798.2,215,580.5,1628.12,0
12378,188,1,1407.7,188,787.0,4008.62,0
12379,48,2,767.98,160,204.0,852.24,0
12380,91,7,6951.49,288,318.2857142857143,2724.81,0
12385,5,1,1938.4,5,612.0,0.0,1
12387,41,1,143.94,41,134.0,0.0,1
12388,71,2,1120.45,208,269.5,2780.66,0
12389,28,3,1433.33,281,204.66666666666666,0.0,1
12391,90,5,2312.53,288,184.0,460.89,0
12392,217,1,234.75000000000003,217,73.0,0.0,1
12393,8,2,816.85,54,247.5,1582.6000000000001,0
12395,32,3,1702.54,228,362.3333333333333,3364.73,0
12396,300,1,931.43,300,591.0,0.0,1
12399,11,3,853.65,270,340.0,1108.65,0
12400,40,1,205.25,40,91.0,0.0,1
12402,18,5,1031.3,296,98.0,225.6,0
12403,147,1,591.6600000000001,147,164.0,427.7,0
12404,308,1,63.24,308,1.0,0.0,1
12406,25,3,2975.06,323,532.6666666666666,3415.3,0
12408,11,3,1452.22,124,273.3333333333333,2888.55,0
12409,46,4,12346.619999999999,191,1898.0,11072.67,0
12410,128,1,320.38,128,130.0,693.3299999999999,0
12411,35,1,346.9,35,138.0,0.0,1
12412,28,3,1370.05,165,389.3333333333333,1226.88,0
12413,28,1,241.35,28,33.0,758.1,0
12414,89,3,390.0,89,65.0,562.41,0
12415,1,7,19543.84,153,2010.4285714285713,124914.53,0
12416,282,1,202.56,282,132.0,0.0,1
12417,36,11,3167.81,359,121.63636363636364,3649.1,0
12418,39,3,1352.62,256,227.0,668.58,0
12419,11,2,503.01,39,115.5,0.0,1
